,OrderDate,ProductID,PromotionCode,DiscountAmount,Quantity,UnitPrice,ProductSKU,ProductName,ProductCategory,ItemGroup,KitType,Channels,Demographic,RetailPrice,Month,Year,Day,Season
44,2017-02-02,10,NoPromo,0.0,2,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,2,winter
45,2017-02-02,11,NoPromo,0.0,2,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,2,winter
46,2017-02-02,12,NoPromo,0.0,5,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,2,winter
47,2017-02-02,18,NoPromo,0.0,1,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,2,winter
48,2017-02-03,2,NoPromo,0.0,3,178.94999999999996,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,3,winter
49,2017-02-03,3,NoPromo,0.0,10,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,3,winter
50,2017-02-03,5,NoPromo,0.0,3,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,3,winter
51,2017-02-03,6,NoPromo,0.0,2,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,3,winter
52,2017-02-03,8,NoPromo,0.0,6,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,3,winter
53,2017-02-03,9,NoPromo,0.0,2,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,3,winter
54,2017-02-03,11,NoPromo,0.0,4,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,3,winter
55,2017-02-03,11,SALE2016-02,6.8,1,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,3,winter
56,2017-02-03,12,NoPromo,0.0,4,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,3,winter
57,2017-02-03,18,NoPromo,0.0,2,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,3,winter
58,2017-02-04,3,NoPromo,0.0,6,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,4,winter
59,2017-02-04,5,NoPromo,0.0,5,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,4,winter
60,2017-02-04,6,NoPromo,0.0,3,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,4,winter
61,2017-02-04,8,NoPromo,0.0,1,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,4,winter
62,2017-02-04,10,NoPromo,0.0,5,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,4,winter
63,2017-02-04,11,NoPromo,0.0,1,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,4,winter
64,2017-02-04,18,NoPromo,0.0,2,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,4,winter
65,2017-02-05,2,NoPromo,0.0,2,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,5,winter
66,2017-02-05,3,NoPromo,0.0,8,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,5,winter
67,2017-02-05,3,SALE2016-02,7.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,5,winter
68,2017-02-05,5,NoPromo,0.0,1,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,5,winter
69,2017-02-05,6,NoPromo,0.0,7,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,5,winter
70,2017-02-05,8,NoPromo,0.0,1,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,5,winter
71,2017-02-05,8,SALE2016-02,6.8,1,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,5,winter
72,2017-02-05,9,NoPromo,0.0,2,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,5,winter
73,2017-02-05,9,SALE2016-02,5.6,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,5,winter
74,2017-02-05,11,NoPromo,0.0,2,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,5,winter
75,2017-02-05,12,NoPromo,0.0,11,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,5,winter
76,2017-02-05,12,SALE2016-02,11.6,1,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,5,winter
77,2017-02-05,18,NoPromo,0.0,2,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,5,winter
78,2017-02-06,2,NoPromo,0.0,2,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,6,winter
79,2017-02-06,2,SALE2016-02,7.2,1,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,6,winter
80,2017-02-06,3,NoPromo,0.0,2,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,6,winter
81,2017-02-06,5,NoPromo,0.0,1,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,6,winter
82,2017-02-06,5,SALE2016-02,4.0,1,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,6,winter
83,2017-02-06,6,NoPromo,0.0,6,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,6,winter
84,2017-02-06,6,SALE2016-02,10.4,1,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,6,winter
85,2017-02-06,8,NoPromo,0.0,1,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,6,winter
86,2017-02-06,10,NoPromo,0.0,2,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,6,winter
87,2017-02-06,11,NoPromo,0.0,2,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,6,winter
88,2017-02-06,12,NoPromo,0.0,1,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,6,winter
89,2017-02-06,12,SALE2016-02,28.9,1,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,6,winter
90,2017-02-06,18,NoPromo,0.0,4,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,6,winter
91,2017-02-07,2,NoPromo,0.0,6,178.94999999999996,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,7,winter
92,2017-02-07,3,NoPromo,0.0,9,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,7,winter
93,2017-02-07,3,SALE2016-02,7.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,7,winter
94,2017-02-07,5,NoPromo,0.0,1,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,7,winter
95,2017-02-07,5,SALE2016-02,10.0,1,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,7,winter
96,2017-02-07,6,SALE2016-02,10.4,1,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,7,winter
97,2017-02-07,8,NoPromo,0.0,2,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,7,winter
98,2017-02-07,9,NoPromo,0.0,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,7,winter
99,2017-02-07,9,SALE2016-02,5.6,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,7,winter
100,2017-02-07,10,NoPromo,0.0,4,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,7,winter
101,2017-02-07,11,NoPromo,0.0,5,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,7,winter
102,2017-02-07,12,NoPromo,0.0,4,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,7,winter
103,2017-02-07,12,SALE2016-02,28.9,1,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,7,winter
104,2017-02-07,18,NoPromo,0.0,1,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,7,winter
105,2017-02-08,2,NoPromo,0.0,2,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,8,winter
106,2017-02-08,3,NoPromo,0.0,10,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,8,winter
107,2017-02-08,6,NoPromo,0.0,4,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,8,winter
108,2017-02-08,8,NoPromo,0.0,1,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,8,winter
109,2017-02-08,9,NoPromo,0.0,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,8,winter
110,2017-02-08,10,NoPromo,0.0,2,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,8,winter
111,2017-02-08,11,NoPromo,0.0,2,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,8,winter
112,2017-02-08,12,NoPromo,0.0,2,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,8,winter
113,2017-02-08,13,NoPromo,0.0,2,308.95,3050-THeli-Co-Ax Pro-4C,Tailspin Heli - Co-Ax Pro Mk I - 4ch,Co-Axial,Helicopter,KIT,4,Intermediate,389.95,2,2017,8,winter
114,2017-02-09,2,NoPromo,0.0,3,178.94999999999996,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,9,winter
115,2017-02-09,2,SALE2016-02,7.2,2,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,9,winter
116,2017-02-09,3,NoPromo,0.0,10,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,9,winter
117,2017-02-09,5,NoPromo,0.0,2,99.95,2050-P47-4C,P47 4 Channel,Warbird,Airplane,RTF,4,Intermediate,98.95,2,2017,9,winter
118,2017-02-09,6,NoPromo,0.0,8,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,9,winter
119,2017-02-09,8,NoPromo,0.0,3,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,9,winter
120,2017-02-09,9,NoPromo,0.0,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,9,winter
121,2017-02-09,10,NoPromo,0.0,5,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,9,winter
122,2017-02-09,11,NoPromo,0.0,2,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,9,winter
123,2017-02-09,12,NoPromo,0.0,4,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,9,winter
124,2017-02-09,18,NoPromo,0.0,3,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,9,winter
125,2017-02-10,2,NoPromo,0.0,2,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,10,winter
126,2017-02-10,3,NoPromo,0.0,6,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,10,winter
127,2017-02-10,6,NoPromo,0.0,4,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,10,winter
128,2017-02-10,6,SALE2016-02,18.15,2,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,10,winter
129,2017-02-10,10,NoPromo,0.0,1,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,10,winter
130,2017-02-10,11,NoPromo,0.0,1,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,10,winter
131,2017-02-10,11,SALE2016-02,6.8,2,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,10,winter
132,2017-02-10,12,NoPromo,0.0,5,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,10,winter
133,2017-02-10,18,NoPromo,0.0,2,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,10,winter
134,2017-02-11,2,NoPromo,0.0,1,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,11,winter
135,2017-02-11,3,NoPromo,0.0,4,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,11,winter
136,2017-02-11,6,NoPromo,0.0,1,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,11,winter
137,2017-02-11,6,SALE2016-02,10.4,1,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,11,winter
138,2017-02-11,8,NoPromo,0.0,2,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,11,winter
139,2017-02-11,9,NoPromo,0.0,2,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,11,winter
140,2017-02-11,10,NoPromo,0.0,1,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,11,winter
141,2017-02-11,11,NoPromo,0.0,4,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,11,winter
142,2017-02-11,11,SALE2016-02,6.8,1,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,11,winter
143,2017-02-11,12,NoPromo,0.0,6,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,11,winter
144,2017-02-11,12,SALE2016-02,28.9,1,288.95,3010-TWAR-BM32-5C,Tailspin Warbird BM32,Warbird,Airplane,KIT,5,Advanced,349.75,2,2017,11,winter
145,2017-02-11,18,NoPromo,0.0,1,119.95,4030-4CAX-B-4C,4CAX-B Helicopter,Co-Axial,Helicopter,RTF,4,Intermediate,151.15,2,2017,11,winter
146,2017-02-12,2,NoPromo,0.0,1,178.95,1010-GL155-4C,Trainer - Tailspin GL-155,Glider,Airplane,RTF,4,Intermediate,216.65,2,2017,12,winter
147,2017-02-12,3,NoPromo,0.0,8,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,12,winter
148,2017-02-12,3,SALE2016-02,7.0,1,69.95,2030-PCUB-3C,Piper Cub 3 Channel,Trainer,Airplane,RTF,3,Beginner,84.65,2,2017,12,winter
149,2017-02-12,6,NoPromo,0.0,2,258.95,2050-P47-5C,P47 5 Channel,Warbird,Airplane,RTF,5,Advanced,274.95,2,2017,12,winter
150,2017-02-12,8,NoPromo,0.0,1,168.95,2060-SKYT-5C,SkyTrainer,Trainer,Airplane,RTF,5,Advanced,179.25,2,2017,12,winter
151,2017-02-12,9,NoPromo,0.0,1,138.95,3010-TAVM2-11-3C,Tailspin Aviator Mk2-11,Glider,Airplane,KIT,3,Intermediate,169.35,2,2017,12,winter
152,2017-02-12,10,NoPromo,0.0,2,154.95,3010-TAVM2-12-4C,Tailspin Aviator Mk2-12,Trainer,Airplane,KIT,4,Intermediate,188.05,2,2017,12,winter
153,2017-02-12,11,NoPromo,0.0,1,168.95,3010-TAVM2-15-4C,Tailspin Aviator Mk2-15,Trainer,Airplane,KIT,4,Intermediate,204.55,2,2017,12,winter
